SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
C1CCCC1,c1ccc2ncccc2c1,293.2,0.847182403,1.3962,1.00E-08,0.549017597,114
C1CCCC1,c1ccc2ncccc2c1,313.15,0.765535251,0.802,1.00E-08,0.036464749,115
COCCOC,CO,298.15,0.222443946,0.22,1.00E-08,-0.002443946,116
CCCCCC,CC1COC(=O)O1,298.15,3.438805198,3.9512,1.00E-08,0.512394802,117
CCCCCC,CC1COC(=O)O1,333.15,2.997124002,3.4657,1.00E-08,0.468575998,118
CCCCCC,CC1COC(=O)O1,323.15,3.115929744,3.5439,1.00E-08,0.427970256,119
CCCCCC,CC1COC(=O)O1,313.15,3.240529264,3.627,1.00E-08,0.386470736,120
CCCCCC,CC1COC(=O)O1,303.15,3.371158785,3.7038,1.00E-08,0.332641215,121
CCCCCC,CCC(C)=O,333.2,1.027003846,1.1474,1.00E-08,0.120396154,122
CCCCCC,CCC(C)=O,373.2,0.885732971,0.9555,1.00E-08,0.069767029,123
CCCCCC,CCC(C)=O,298.15,1.174643857,1.3863,1.00E-08,0.211656143,124
CCCCCC,CCC(C)=O,298.2,1.174415437,1.4586,1.00E-08,0.284184563,125
CCCCCC,CCC(C)=O,293.15,1.197757576,1.4586,1.00E-08,0.260842424,126
CCCCCC,CCC(C)=O,313.15,1.108466027,1.4159,1.00E-08,0.307433973,127
CCCCCC,CCC(C)=O,323.15,1.066873595,1.3403,1.00E-08,0.273426405,128
CCCCCC,CCC(C)=O,303.15,1.152064571,1.4516,1.00E-08,0.299535429,129
CCCCCC,CCC(C)=O,313.08,1.10876414,1.3813,1.00E-08,0.27253586,130
CCCCCC,CCC(C)=O,303.2,1.151841441,1.4516,1.00E-08,0.299758559,131
CCCCCC,CCC(C)=O,333.15,1.027197562,1.2238,1.00E-08,0.196602438,132
CCCCCC,CCC(C)=O,338.15,1.00805018,1.1909,1.00E-08,0.18284982,133
CCCCCC,N#CCCOCCC#N,373.15,3.357778098,3.7612,1.00E-08,0.403421902,134
CCCCCC,N#CCCOCCC#N,313.15,4.221856523,4.3745,1.00E-08,0.152643477,135
CCCCCC,N#CCCOCCC#N,323.15,4.060045436,4.2528,1.00E-08,0.192754564,136
CCCCCC,N#CCCOCCC#N,333.15,3.90577471,4.091,1.00E-08,0.18522529,137
CCCCCC,COCCO,333.15,2.018664354,2.5726,1.00E-08,0.553935646,138
CCCCCC,COCCO,373.15,1.792296144,2.3888,1.00E-08,0.596503856,139
CCCCCC,COCCO,298.15,2.239554079,2.7726,1.00E-08,0.533045921,140
CCCCCC,COCCO,298,2.2405442,2.7912,1.00E-08,0.5506558,141
c1ccccc1,N#CCCNCCC#N,298.15,1.277096521,1.1632,1.00E-08,-0.113896521,142
c1ccccc1,N#CCCNCCC#N,373.15,1.033183934,0.8329,1.00E-08,-0.200283934,143
c1ccccc1,N#CCCNCCC#N,313.15,1.226619616,1.1119,1.00E-08,-0.114719616,144
c1ccccc1,N#CCCNCCC#N,333.15,1.160114175,1.0852,1.00E-08,-0.074914175,145
c1ccccc1,N#CCCNCCC#N,323.15,1.193193829,1.1019,1.00E-08,-0.091293829,146
CCCCCC,c1ccncc1,298.15,1.506697783,1.8245,1.00E-08,0.317802217,147
CCCCCC,c1ccncc1,373.15,1.093563517,1.335,1.00E-08,0.241436483,148
CCCCCC,c1ccncc1,333.15,1.291488386,1.5686,1.00E-08,0.277111614,149
