Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
I/C=C/I,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,4.36,2.34,3.07,3.72,6.83,1.57,1.2,9.77,9.57,3.97,4.92,14.6,22,22.9,27.3,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.60508
I/C=C\I,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736,4.03,3.57,4.69,3.79,6.62,2.39,1.51,8.4,10.3,4.49,1.47,12.4,18.5,20.7,29.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.29803
O=C(O)CS,,0,0,0,0,0.205,0.822,1.33,0.714,0.415,1.76,0.991,0.924,0.839,1.55,1.57,3.67,4.26,4.47,3.54,3.31,3.72,4.01,3.79,4.83,3.14,4.17,5.23,5,4.9,5.47,5.14,4.68,7.05,6.65,9.1,5.25,2.34,1.19,0.0804,0,0,0,0,0,0,0,0,0,0,0,0,102.98709
FC(F)C(F)(F)OCC(F)(F)F,,0,0,0,0,0,0,0,0,0,0,0,0,0.126,3.27,5.48,4.02,4.53,4.75,2.61,2.95,1.77,2.38,3.89,4.68,4.94,5.38,18.5,49.2,45.4,12,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.89892
C[C@]12C[C@H]3C[C@H](C[C@](C)(C3)C1)C2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,8.08,36.5,52.9,29,24.3,22.4,22.5,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.26474
c1cc2c3c(cccc3c1)CC2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,15.3,22.5,19.9,17.4,15.6,13.6,12.1,9.86,12.2,17.3,18,12,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.12852
CCCCOC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,1.67,8.8,23.8,26.3,26.1,18.3,11.7,13.4,4.12,0.972,1.28,1.46,0.902,0.824,0.832,1.51,2.35,1.28,1.66,1.83,0.0146,0,0,0,0,0,0,0,0,0,0,136.65485
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,6.68,10.3,6.77,7.8,7.38,11.5,12.4,5.35,24.3,27.9,32.3,40.4,53.1,29.8,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.44264
O=C(O)CCCCCCCCC(=O)O,,0,0,0,0,0,0,0,0.355,2.55,0.629,1.47,3,2.42,0.794,0.392,0.716,1.89,1.83,2.29,9.47,8.42,10.7,25.1,41.1,34.9,23.5,14.5,10.7,7.82,5.46,7.18,3.67,3.94,10.4,4.86,9.54,10.7,3.88,0.181,0,0,0,0,0,0,0,0,0,0,0,0,266.17139
CCCC(C)(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759,15.8,28.2,34.7,19.9,21.1,23.7,19.7,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.07074
Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,1.87,5.21,4.81,4.99,5.24,7.76,19.3,4.15,19,40.6,35.6,26.8,60.3,50.2,21,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.98131
C[C@@H]1C=CCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399,2.74,5.72,17.1,20,20.5,17.6,15.4,15.4,4.27,3.52,3.37,2.01,2.66,2.02,1.04,0.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.22937
c1ccc2c(c1)CCCC2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,7.26,16.4,22.7,23,21,18.4,15.4,9.09,7.07,6.24,5.22,10.6,4.96,5.22,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.80733
Clc1ccc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,1.67,5.05,7.12,6.05,6.3,8.01,13.7,9.21,15.8,32.9,30.6,28,52.4,55.3,21.7,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.52286
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,,0,0,0,0,0,0,2.14,4.9,1.29,5.34,6.33,2.19,0.515,1.46,3.83,4.11,1.75,3.68,4.34,3.33,9.17,10.3,11.8,18.2,13.6,10.6,11.2,15.6,10.6,9.52,6.22,10.8,12.5,7.93,22.7,15.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.58546
CCCBr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,2.86,4.11,4.31,13.3,14.3,15,10.4,8.22,11.1,7.73,2.22,1.36,10.2,7.62,9.71,0.0413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.16834
FC(Cl)(Cl)Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,1.39,6.77,2.05,1.39,11.2,4.37,2.47,20.3,31.8,40.4,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.60376
CN1CCN(C)C1=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,5.14,14.7,28,21.2,17,18,6.5,4.13,4.69,3.55,3.65,2.07,2.84,2.64,1.48,0.613,0.673,3.71,1.84,1.74,6.56,3.07,0,0,0,0,0,0,0,0,0,0,147.80051
ClC(Cl)=C(Cl)Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,4.29,8.08,0,8.87,14.7,11.1,14.1,33.8,40.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.31563
FC(F)(F)CCl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,4.32,3.59,3.14,3.37,2.48,1.21,1.33,2.03,4.68,4,3.07,5.29,10.2,25.8,27.8,9.92,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.1936
C[Si](C)(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,9.23,18.3,25.5,23.7,10.8,13.5,18.2,16.3,8.48,4.39,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.48766
O=[N+]([O-])c1ccc(Cl)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,6.23,8.34,5.06,6.73,4.84,8.26,8.75,6.31,17.9,17.3,18.2,13.3,13.2,3.4,4.58,8.97,5.21,3.48,2.51,2.64,2.33,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,163.56191
c1cncnc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,9.61,11,6.46,4.11,4.65,5.37,4.49,7.35,12.5,11.8,3.83,4.37,2.3,0.882,3.41,3.24,0.919,2.24,3.52,1.66,1.66,1.84,2.3,1.38,0.473,0,0,0,0,0,0,0,0,0,100.20799
c1ccc(Cc2ccccc2)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,1.12,3.23,17.9,24,21.8,16.1,10.3,9.58,14.2,13,9.43,17.6,9.76,20.7,13.9,14.3,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.42416
CC(C)C(=O)OCC(C)(C)[C@@H](O)C(C)C,,0,0,0,0,0,0,0,0,0,0,0.00757,0.474,0.873,0.716,0.228,1.46,0.523,0.853,0.98,3,10.7,21.7,32.3,35.3,33.4,29.7,31.6,23.2,9.83,4.47,1.32,2.09,2.36,2.21,2.64,3.72,6.38,5.7,1.4,1.04,0.185,0,0,0,0,0,0,0,0,0,0,303.85116
CCN(C)C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,12.3,13.1,15.1,21.1,21.4,20.7,9.89,2.55,1.53,1.08,0.531,0.824,0.33,0.784,0.966,0.508,0.148,0.723,1.05,0.377,0.444,0.365,0.523,0,0,0,0,0,0,0,118.53641
COC(=O)c1ccc(N(C)C)cc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.657,3.96,9.02,24.2,24.1,20.4,22.6,17,12.1,12.1,9.74,14.8,12.7,14.5,5.7,2.52,1.47,2.14,2.82,1.76,6.36,1.61,0,0,0,0,0,0,0,0,0,0,0,0,226.62571
CCCCCOC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.78,8.08,24.1,30.9,31.3,22.1,14.3,15.4,5.29,1.73,1.22,1.4,1.06,0.715,0.81,1.59,2.27,1.46,1.59,1.74,0.0138,0,0,0,0,0,0,0,0,0,0,158.31657
CCCCCCCCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,14.2,57.6,85.8,68.4,59.5,37.8,32.5,0.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.78139
CC[C@@H](C)OC(C)=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2.29,4.35,7.54,16.4,21.8,24.2,21.2,18.7,14.9,7.35,2.49,1.78,1.32,3.71,2.69,2.52,3.56,1.89,3.02,4.77,1.77,0.299,0,0,0,0,0,0,0,0,0,0,0,161.83547
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284,1.94,8.32,13,11.7,12.1,8.95,14,8.22,8.38,23.9,21.9,27.9,37.5,36.2,13.9,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.43954
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,2.37,2.9,1.95,3.49,4.97,12.3,14.5,8.39,35.5,36.6,28.9,42.8,64,53.1,12,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.4789
C=CCCCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,3.82,6.94,21.1,41.8,48,39.1,33,24.2,17.3,4.03,2.58,3.06,3.13,2.4,1.67,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.48652
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,,0,0,0,0,0,0,0,0.264,1.54,1.56,2.44,3.22,0.588,0.649,0.425,2.84,3.24,1.56,5.36,11.6,18.8,21.1,17.8,15.8,12.2,15.6,10.6,8.67,12.1,14.3,10.2,3.36,5.81,4.42,8.63,17.7,7.44,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,270.60446
FC(F)(Cl)C(F)(F)Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,1.13,5.04,0.47,3.2,6.75,1.37,6.36,37.6,66.1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.20317
C1CCCCCCCCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,3.23,9.27,36.5,36.8,48.3,36.5,35.8,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.37587
CCCC1CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,8.81,30.2,43.4,34.5,32.2,26.5,12.5,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.55737
