Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
CC12CCCC1=C(C(=O)O)C(=O)CC2,843,0,0,0,0.028,0.186,0.706,1.126,1.113,1.151,0.918,0.437,0.345,0.662,0.874,0.585,0.257,0.472,2.158,5.581,10.788,17.337,21.519,20.913,18.281,16.703,16.217,14.27,8.834,3.734,2.247,2.181,2.137,2.352,2.798,3.628,5.168,6.99,7.509,5.827,3.418,1.909,1.134,0.536,0.129,0,0,0,0,0,0,0,236.0559
CNCCNS(C)(=O)=O,844,0,0,0,0,0,0,0.05,0.399,0.964,1.02,0.678,0.895,1.695,2.617,3.698,5.152,6.442,6.923,7.539,9.099,10.522,12.833,15.28,13.034,9.149,8.094,7.173,4.999,2.949,2.164,2.402,2.613,2.47,2.897,5.204,8.087,9.733,9.007,5.182,1.867,1.055,0.691,0.444,0.441,0.405,0.433,0.354,0.231,0.151,0.043,0,182.0501
COCC(O)CSc1nc(C)[nH]c1[N+](=O)[O-],845,0,0,0,0.07,0.393,0.818,1.078,1.232,1.222,1.146,1.224,1.513,1.569,1.171,0.927,1.211,3.916,10.094,16.096,18.252,17.882,17.264,17.574,19.184,17.729,12.22,8.116,6.248,4.787,5.312,6.777,6.46,6.622,8.37,9.138,8.126,6.453,5.745,6.057,5.5,3.752,2.071,0.899,0.202,0,0,0,0,0,0,0,275.0153
Cc1ccc(C(CC(=O)O)C(=O)O)cc1Cl,846,0,0,0,0.106,0.666,1.793,2.491,2.58,2.389,1.384,0.543,1.116,1.918,1.454,1.396,3.144,5.493,7.387,9.484,11.807,12.685,12.46,11.83,10.104,9.484,11.557,12.228,12.329,15.298,17.853,16.954,11.613,5.695,4.585,6.555,8.62,8.39,5.703,3.058,1.016,0.053,0,0,0,0,0,0,0,0,0,0,274.1543
SCc1csc(-c2ccc(Cl)cc2)n1,847,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.372,2.08,5.633,9.563,11.366,10.09,8.655,8.899,9.182,9.284,10.735,13.948,17.333,20.808,24.768,25.984,21.982,14.17,6.696,3.125,2.708,3.434,3.763,2.451,0.796,0.355,0.523,0.509,0.38,0.247,0.108,0.024,0.001,0,0,0,0,0,265.872
CC(C#N)C(C)C#N,848,0,0,0,0,0,0,0,0,0,0,0,0,0.057,1.265,4.055,5.427,4.264,5.842,10.653,12.218,9.997,7.688,6.802,7.741,9.603,8.973,5.528,2.75,2.095,3.086,4.529,5.483,6.302,7.849,7.605,5.743,5.106,4.151,2.602,1.069,0.085,0,0,0,0,0,0,0,0,0,0,155.8537
N#CC1CC2CCCCC2CN1,849,0,0,0,0,0,0,0,0,0,0.015,0.18,0.581,1.032,1.043,0.813,1.83,2.999,2.675,3.403,6.053,10.155,17.136,23.82,24.245,19.017,14.466,13.851,13.298,9.229,4.586,2.37,2.111,3.455,5.1,5.089,3.909,2.956,2.644,2.257,1.325,0.673,0.614,0.568,0.474,0.512,0.39,0.114,0,0,0,0,221.2592
N#CCC(N)C#N,850,0,0,0,0,0,0,0,0,0.008,0.211,1.226,2.713,3.882,6.51,9.785,9.088,5.336,3.441,3.835,3.701,2.958,3.431,3.712,2.498,1.981,2.937,3.773,3.668,3.666,4.203,4.768,6.166,7.936,8.483,7.244,5.819,5.829,4.833,2.39,0.745,0.367,0.56,0.539,0.485,0.472,0.275,0.058,0,0,0,0,128.0227
CCCC(O)C(=O)OC,851,0,0,0,0,0,0,0,0,0,0.017,0.169,0.487,0.589,0.369,0.332,0.601,1.928,5.771,8.791,8.326,9.926,14.691,17.847,17.102,12.713,9.536,9.611,9.771,7.951,4.842,3.085,2.829,3.006,3.375,4.131,4.641,3.751,2.564,2.084,2.02,1.775,1.075,0.384,0.06,0,0,0,0,0,0,0,173.8029
SC1CCC1,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.999,1.661,1.814,2.197,4.245,8.333,11.977,12.224,10.576,9.821,9.444,10.516,11.832,8.571,3.962,3.098,3.825,3.101,1.957,2.098,2.653,2.289,1.114,0.299,0.073,0,0,0,0,0,0,0,0,0,0,0,119.6774
FC1=C(F)C(F)(F)C1F,853,0,0,0,0,0,0,0,0,0,0,0,0.039,0.798,2.261,2.694,2.141,1.908,2.178,3.024,4.648,5.686,4.946,4.685,5.041,6.195,10.37,15.592,17.115,15.33,13.927,10.756,5.519,1.669,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0082
CCOC(=O)C(C)(C)ON=C(C)C,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,5.612,15.207,23.513,25.577,21.702,18.429,18.782,22.425,23.456,14.972,5.898,3.757,3.916,3.034,2.209,2.184,2.179,2.559,4.205,5.485,4.748,3.094,1.835,1.078,0.489,0.157,0.058,0.004,0,0,0,0,0,247.6931
CCOC(=O)CC(=O)SC(C)(C)C,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,1.185,2.577,3.241,3.698,7.061,13.879,20.506,23.356,21.676,17.967,14.63,15.059,18.884,16.733,9.446,5.961,5.251,4.663,4.03,3.549,4.148,5.985,7.164,5.886,3.818,1.909,0.424,0,0,0,0,0,0,0,0,0,0,257.4432
CCCCSSC(C)CC,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.817,2.277,5.296,12.109,20.215,24.67,24.833,21.697,18.644,18.807,21.332,19.455,12.071,6.979,5.213,4.471,4.134,2.982,1.275,0.301,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,246.9523
CC(C)(C)C(=O)S,857,0,0,0,0,0,0,0,0,0,0,0,0.021,0.386,1.296,1.789,1.287,0.686,0.693,2.473,6.631,11.754,14.825,13.764,11.285,9.826,10.497,13.945,14.194,8.588,4.205,3.663,3.466,2.768,2.423,2.777,3.723,3.528,2.209,1.255,0.485,0.037,0,0,0,0,0,0,0,0,0,0,157.4141
CN(CC=C(Br)Br)C(=O)OC(C)(C)C,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.289,1.049,2.428,4.839,8.381,12.002,15.062,18.98,21.841,19.476,15.772,16.661,24.287,29.533,25.276,18.259,9.065,1.907,0.492,0.311,0.311,0.571,1.662,2.578,2.608,2.943,2.421,0.776,0.007,0,0,0,0,0,0,0,0,298.8669
CCCCC(CC)(CCC)C(=O)OC,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,1.372,4.138,6.141,10.258,20.946,32.578,35.689,29.27,23.155,22.793,24.493,19.882,8.755,2.31,1.546,2.117,2.777,2.196,1.797,2.755,3.538,2.857,1.687,0.824,0.215,0.002,0,0,0,0,0,0,0,0,294.2264
CCC(=O)Nc1c(Cl)nc(C)c(Cl)c1C,860,0,0,0,0,0,0,0.168,0.495,0.737,0.937,0.937,0.789,0.691,0.41,0.265,0.385,0.681,3.112,8.282,13.419,16.946,17.382,15.346,17.923,25.893,26.928,19.857,17.439,17.841,13.182,7.083,3.366,1.906,1.761,1.822,2.307,3.072,3.794,4.11,3.189,1.885,1.122,0.495,0.077,0,0,0,0,0,0,0,277.3724
CC(C)(N)CNC(=O)C(F)(F)F,861,0,0,0,0,0.001,0.134,0.323,0.409,0.716,0.927,0.731,0.588,0.786,1.698,2.549,2.799,3.383,4.588,6.265,8.607,10.876,11.57,11.106,10.503,10.307,12.295,18.502,23.157,17.1,6.577,1.961,1.353,1.187,1.376,2.007,3.517,4.852,4.14,2.644,1.629,0.701,0.361,0.527,0.581,0.578,0.472,0.331,0.398,0.379,0.136,0,208.3219
Cc1ccc(S(=O)(=O)CNC=O)cc1,862,0,0,0,0,0,0.029,0.41,1.126,1.646,1.604,1.128,0.837,1.16,2.263,3.4,5.084,8.332,10.29,10.701,12.661,13.389,11.307,9.843,9.512,10.62,12.704,12.778,11.765,10.975,8.008,4.091,2.253,2.234,3.155,4.974,7.628,10.176,10.389,7.103,3.566,1.906,0.849,0.161,0,0,0,0,0,0,0,0,244.5944
COC(=O)C(C)(C)NC(C)=O,863,0,0,0,0,0,0,0,0,0,0.023,0.217,0.565,0.736,0.717,0.722,0.831,1.935,5.601,10.544,13.896,15.459,15.499,14.837,14.683,14.818,15.876,15.465,10.838,5.608,2.839,1.814,1.47,1.486,1.601,1.905,3.719,5.702,5.045,3.741,3.711,3.18,1.916,1.061,0.541,0.137,0,0,0,0,0,0,202.2089
COC1=C(CN(C)C)COC1=O,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,1.081,3.326,5.79,8.832,12.321,15.855,18.983,19.339,18.295,17.48,15.066,10.754,6.189,3.894,3.314,2.883,3.015,3.225,3.742,5.262,6.823,6.981,5.161,3.01,2.011,1.277,0.502,0.237,0.199,0.072,0,0,0,0,0,0,215.8303
CCCCC=NO,865,0,0,0,0,0,0.081,0.6,1.176,1.1,0.966,1.01,0.879,0.749,0.642,0.458,0.323,0.659,1.577,2.486,3.702,7.175,12.026,15.645,16.45,13.926,11.698,11.137,10.683,8.787,4.639,2.123,2.268,2.676,3.116,3.457,3.277,2.714,2.599,2.553,1.576,0.809,0.71,0.409,0.083,0,0,0,0,0,0,0,146.7389
CC(S)C(C)S,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.519,1.153,1.894,3.411,5.698,8.874,12.184,13.014,11.391,9.849,9.078,9.189,10.926,11.215,7.796,5.632,6.851,6.938,5.176,3.99,3.829,3.707,2.349,0.77,0.133,0,0,0,0,0,0,0,0,0,0,0,0,159.4427
CC(F)(F)N=C=O,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,2.122,5.025,6.894,8.396,9.046,6.778,5.391,6.514,5.882,4.505,4.96,7.043,10.603,15.351,16.554,9.654,2.158,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.5689
O=C(OC1CC2CCC1C2)C(F)(F)F,868,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.084,0.2,0.364,0.636,1.491,3.733,7.599,12.882,17.581,18.795,16.994,15.08,16.952,24.22,28.021,19.368,7.498,2.863,2.022,1.928,3.536,4.734,3.423,1.556,0.483,0.03,0,0,0,0,0,0,0,0,0,0,0,0,223.7817
N#CC1CCCCC1C#N,869,0,0,0,0,0,0,0,0,0,0,0,0,0.091,1.918,4.88,4.948,2.697,2.764,6.289,10.957,14.255,14.604,13.246,11.809,10.302,8.632,6.603,4.177,2.542,2.88,4.331,5.081,6.041,8.136,7.858,5.951,5.244,4.245,2.801,1.178,0.099,0,0,0,0,0,0,0,0,0,0,181.4517
COC(=O)C1CC(O)CN1,870,0,0,0,0,0,0,0.117,0.534,1.002,0.964,0.677,1.181,2.221,2.495,1.997,1.457,1.555,3.871,8.358,13.11,15.918,15.747,14.773,12.963,9.777,7.613,5.904,3.604,2.35,2.216,2.632,3.195,3.455,3.548,3.28,3.966,5.329,5.287,4.407,3.562,2.784,2.137,1.506,0.908,0.477,0.325,0.484,0.498,0.18,0,0,175.8807
CCCCCCCCC(OC)C(=O)O,871,0,0,0,0.039,0.272,0.798,1.155,1.254,1.29,0.821,0.286,0.449,0.876,0.808,0.391,0.241,0.385,1.152,3.56,7.448,11.611,18.471,28.158,34.008,31.927,24.687,20.082,19.832,17.132,10.093,4.721,3.538,2.953,2.562,3.424,4.705,5.151,4.22,3.065,2.123,1.497,1.031,0.403,0.059,0,0,0,0,0,0,0,284.2121
C1CCC(PC2CCCC2)C1,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,5.706,16.935,26.322,29.74,30.05,27.545,23.848,21.746,16.742,7.368,1.799,1.294,1.634,1.501,0.781,0.522,0.771,0.802,0.845,0.901,0.656,0.513,0.389,0.12,0.005,0,0,0,0,0,0,235.2188
CCCC1=CC(=O)CC(=O)O1,873,0,0,0,0,0,0,0,0,0,0,0,0,0.077,1.617,4.259,5.321,5.549,6.52,7.107,8.467,11.775,14.864,15.561,13.381,11.403,10.887,10.612,9.11,5.442,2.922,2.567,2.57,3.169,4.545,5.884,6.24,6.429,6.041,3.89,2.111,1.547,0.963,0.299,0.013,0,0,0,0,0,0,0,188.0328
CCC(C)N=C=O,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,1.997,5.336,11.037,16,16.591,15.251,13.442,11.749,12.231,11.534,6.704,2.425,1.989,2.974,4.919,7.257,5.999,2.119,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.9437
CCC1OC1(CC)CC,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.704,4.455,12.864,21.233,22.967,19.355,16.358,16.332,18.445,18.421,11.751,3.74,0.99,1.017,0.89,0.78,0.907,1.233,1.985,2.794,2.67,1.916,1.178,0.699,0.426,0.139,0,0,0,0,0,0,0,193.7943
CCC(C)(C)OCOC(C)(C)CC,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412,4.956,16.539,28.625,32.437,27.304,20.278,18.216,23.09,27.736,20.582,7.72,1.613,0.855,0.944,0.708,0.35,0.249,0.347,0.468,0.99,1.843,2,2.182,2.47,1.704,0.622,0.11,0,0,0,0,0,275.5778
COC(=O)C(NC(=O)C1CCCC1)C(C)C,877,0,0,0,0,0,0,0.006,0.085,0.268,0.514,0.705,0.735,0.645,0.428,0.331,0.631,1.525,4.321,7.905,10.35,14.955,23.478,29.466,28.633,24.599,20.228,19.019,19.092,13.198,5.547,2.322,1.863,2.261,2.655,2.931,4.011,4.845,4.435,4.422,4.567,3.517,1.807,0.479,0.02,0,0,0,0,0,0,0,298.2607
CCCC(NC1COCCC1(C)O)C(=O)O,878,0,0,0,0,0.115,0.602,1.094,1.297,1.777,1.866,1.172,1.144,1.794,2.168,1.946,1.237,0.871,1.805,4.432,9.647,16.613,21.585,24.054,24.06,20.665,17.303,15.693,14.351,11.682,7.08,3.925,3.729,4.21,3.984,3.777,4.839,6.118,5.731,4.929,4.792,3.63,1.749,0.604,0.162,0.03,0,0,0,0,0,0,294.8033
COc1ccc(N(C)C(=O)N(C)C)cc1Cl,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,2.068,6.106,13.813,22.096,24.06,20.402,18.345,19.773,20.059,15.658,10.477,10.675,14.424,16.046,13.482,8.036,3.521,2.088,2.229,2.336,2.281,2.875,4.091,4.231,3.23,2.159,1.003,0.252,0.056,0,0,0,0,0,0,289.5448
COC(=O)C1=CC(C(O)C(OC)OC)CC1,880,0,0,0,0,0,0,0,0,0.015,0.274,0.616,0.609,0.451,0.527,0.682,0.852,1.523,4.283,11.307,19.938,24.171,23.017,21.662,22.999,22.509,18.312,13.617,9.563,6.571,5.175,4.682,4.232,4.358,5.023,4.835,4.426,5.952,7.602,6.557,4.465,2.578,1.019,0.231,0,0,0,0,0,0,0,0,285.6211
O=C=NC(F)(F)c1ccc([N+](=O)[O-])cc1,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,2.552,6.155,7.36,6.536,7.658,10.417,9.715,7.539,8.666,10.853,13.028,15.72,15.511,14.325,15.967,16.265,13.453,10.35,7.51,4.429,2.632,2.431,2.112,1.265,0.412,0.037,0,0,0,0,0,0,0,0,0,0,0,217.598
CCOC(=O)C(Cl)(NC(=O)CCl)C(F)(F)F,882,0,0,0.016,0.184,0.582,1.012,1.119,0.825,0.621,0.733,0.905,0.985,1.131,2.084,3.418,3.479,3.345,5.206,8.127,10.245,11.348,12.423,12.81,10.754,10.101,15.649,22.912,24.048,18.743,12.836,9.872,7.595,5.049,5.035,6.533,6.69,5.033,2.922,1.675,0.816,0.185,0.005,0,0,0,0,0,0,0,0,0,276.0051
CC1=CC=C(Cl)C(O)C1O,883,0,0,0,0,0,0.077,0.642,1.514,1.892,1.818,1.958,2.256,1.992,1.437,1.397,1.963,3.234,5.35,7.461,8.937,9.669,9.215,7.602,6.203,6.74,8.734,9.628,9.145,10.222,11.793,11.344,9.127,5.664,2.824,1.565,1.39,1.774,3.187,4.5,4.105,2.911,1.225,0.107,0,0,0,0,0,0,0,0,185.7291
COC(=O)C1=COC(OC)C2C(C)C=CC12,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.497,1.76,4.909,11.755,19.175,21.199,19.991,20.396,20.907,19.702,16.8,14.436,13.203,9.907,6.749,5.957,5.267,4.584,4.917,5.127,4.72,4.925,5.549,4.843,2.755,1.068,0.273,0.008,0,0,0,0,0,0,0,0,275.0207
C=C=CCC(C)C,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,2.02,4.233,5.337,7.263,11.326,15.705,17.708,15.237,11.982,11.748,14.167,14.173,9.749,6.992,6.118,4.607,2.99,1.145,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.3588
O=COCc1ccco1,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,1.743,5.942,9.57,9.996,8.331,7.044,7.698,8.302,6.986,5.99,6.508,6,5.342,6.599,8.082,8.323,7.372,6.796,6.436,5.4,4.982,5.15,4.317,2.807,1.77,0.879,0.182,0,0,0,0,0,0,0,0,0,0,148.4829
OCCSC1CCCCC1O,887,0,0,0,0,0,0,0,0,0.04,0.207,0.35,0.463,0.907,1.509,1.639,1.297,1.141,2.746,6.789,10.87,15.397,20.826,22.592,19.664,15.624,13.458,12.297,9.874,6.667,4.385,3.816,3.495,2.775,2.71,2.767,2.437,2.458,2.987,3.456,3.527,3.632,3.268,1.829,0.492,0.036,0,0,0,0,0,0,221.5831
CCCCCC(=O)OCc1ccco1,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.668,2.593,5.78,9.052,10.228,9.296,11.149,17.034,22.296,23.63,21.005,16.822,14.839,16.488,16.132,11.487,8.09,7.463,6.814,5.133,3.998,4.026,4.405,3.939,2.357,1.138,0.543,0.134,0,0,0,0,0,0,0,0,0,255.3147
CCC1=C(C)CCC1(C)C(C)=O,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,1.019,3.119,7.825,15.688,22.118,23.309,21.894,19.867,19.144,20.358,18.207,11.072,4.69,2.388,2.034,1.553,1.34,1.707,1.991,2.47,3.178,2.884,2.184,1.873,1.172,0.427,0.105,0,0,0,0,0,0,0,239.6345
CC1=CC(=O)C(C(C)(C)O)CC1,890,0,0,0,0,0,0,0.033,0.179,0.481,0.68,0.567,0.608,0.981,1.095,0.816,0.474,0.353,1.232,5.367,13.835,20.932,21.732,18.766,15.255,14.06,14.907,15.128,13.245,8.624,4.629,2.9,1.678,0.888,0.988,1.64,1.887,1.88,2.863,4.068,3.76,2.922,2.705,2.156,1.405,1.135,0.669,0.129,0,0,0,0,225.0394
CC(C)CC(C#N)(C#N)C1CCCCC1,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,1.175,3.204,4.868,7.603,14.909,25.44,31.751,28.83,21.822,17.688,16.959,15.896,10.563,5.442,5.333,6.302,6.434,6.12,5.436,4.967,4.393,3.303,1.436,0.161,0,0,0,0,0,0,0,0,0,0,0,286.8165
O=S(OC1CCCCC1)OC1CCCCC1,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.237,0.949,2.565,6.954,17.323,30.878,38.325,35.473,27.669,23.693,22.032,16.365,8.806,3.578,1.66,1.315,1.454,2.406,4.621,7.325,8.429,6.901,3.607,0.968,0.081,0,0,0,0,0,0,0,0,0,0,303.1923
CN(C)C(C)(C)C(F)(F)C(F)Cl,893,0,0,0,0,0,0,0,0,0,0,0,0.031,0.416,1.022,1.158,0.968,0.765,0.622,2.251,7.502,14.613,17.857,15.68,13.481,14.118,16.146,15.818,13.777,14.5,17.526,17.473,10.407,2.811,0.385,0.179,0.206,0.394,0.391,0.192,0.058,0.013,0,0,0,0,0,0,0,0,0,0,227.5056
CCOC(=O)C(C)(C=O)CC,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,2.095,8.179,15.713,20.071,20.152,18.08,16.039,14.999,14.724,13.172,8.76,3.809,1.896,2.342,2.323,1.946,2.355,3.312,4.574,5.539,5.118,3.974,2.927,1.852,1.08,0.433,0.024,0,0,0,0,0,0,0,209.6068
CC(C)(C=NCc1ccccc1)C(Cl)(Cl)Cl,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,2.837,10.335,19.722,23.494,20.135,16.466,16.982,17.685,17.538,19.089,20.51,22.479,22.895,16.359,8.58,5.531,4.108,2.403,1.311,0.975,0.834,0.501,0.173,0.146,0.301,0.295,0.14,0.086,0.151,0.174,0.122,0.043,0,0,317.1531
OCC(OCc1ccccc1)C(O)CBr,896,0,0,0,0,0,0,0,0.074,0.402,0.734,0.925,1.451,1.777,1.276,0.843,1.465,3.656,8.625,16.87,21.928,19.586,15.662,13.719,12.412,10.996,10.883,10.974,10.212,11.703,14.983,16.43,14.545,9.945,5.057,2.65,2.963,3.543,3.636,3.728,3.281,2.534,1.487,0.411,0.017,0,0,0,0,0,0,0,286.1236
CC(C)(C#N)OC(=O)CCc1ccccc1,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,2.12,8.265,17.912,25.01,24.174,19.631,16.196,15.49,16.391,14.57,10.857,8.98,9.455,10.372,10.875,10.912,10.745,10.134,8.327,6.724,5.696,3.693,1.785,0.672,0.047,0,0,0,0,0,0,0,0,0,0,282.6749
N#CCC(=O)Cc1ccccc1,898,0,0,0,0,0,0,0,0,0,0,0,0.095,1.778,4.816,5.736,5.435,6.462,8.63,12.544,14.348,11.435,8.97,8.107,6.91,6.071,6.632,7.569,7.933,8.551,8.907,8.791,9.033,9.939,9.992,8.128,6.071,5.214,4.615,3.063,1.139,0.178,0.039,0,0,0,0,0,0,0,0,0,208.9009
O=C(OCc1ccccc1)C(Cl)Cl,899,0,0,0,0,0,0,0,0,0,0,0,0.557,1.653,1.926,1.284,1.608,4.64,9.704,13.58,14.17,12.882,10.76,9.371,10.341,10.468,8.667,10.179,16.335,22.439,22.535,16.041,10.131,6.318,3.611,3.534,3.838,2.927,1.806,0.731,0.06,0,0,0,0,0,0,0,0,0,0,0,238.2766
C=CP(=O)(O)OCCO,900,0,0.006,0.222,0.618,1.09,1.224,0.824,1.002,1.615,1.442,0.97,1.051,1.284,1.299,1.351,2.425,4.974,8.465,11.463,12.129,10.576,9.205,8.878,8.039,6.834,5.645,5.101,5.075,4.259,3.59,4.044,4.467,3.878,3.283,3.411,3.99,3.895,3.162,3.52,5.077,6.738,5.966,2.527,0.296,0,0,0,0,0,0,0,173.7755
C=C(C)C1CCC(=C)C2CCC(C)C2C1,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,3.401,12.264,24.1,30.682,29.336,25.477,23.639,23.341,22.613,18.571,11.909,7.109,5.113,4.932,4.346,2.865,1.655,0.578,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,298.6193
O=COCc1ccccn1,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.943,3.264,7.093,12.299,13.636,10.186,8.719,8.931,8.011,7.521,7.304,7.458,9.413,11.436,10.271,6.241,3.232,2.874,3.415,3.855,4.676,5.641,5.077,3.7,2.919,1.842,0.706,0.351,0.547,0.629,0.405,0.175,0.039,0,0,0,0,166.2647
OC12CC3CC(C1)C(Cl)C(C3)C2,903,0,0,0,0,0,0,0.012,0.142,0.562,0.861,0.65,0.597,0.988,1.198,0.88,0.385,0.325,1.116,2.351,5.165,12.427,20.377,22.869,19.564,15.239,13.496,12.206,10.609,7.765,3.978,3.397,6.24,7.887,5.688,2.515,0.989,0.436,0.681,1.928,2.415,1.762,1.478,1.193,0.437,0.026,0,0,0,0,0,0,217.6232
CC(C)(C)C(=O)C1C=C1C(C)(C)C,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0.749,1.675,1.74,1.124,1.422,5.418,13.442,22.579,28.27,25.297,18.861,16.618,21.769,26.711,18.539,6.785,2.296,1.214,0.956,1,0.861,0.842,1.29,2.26,3.331,2.983,1.522,0.752,0.584,0.577,0.56,0.257,0.025,0,0,0,0,268.8407
O=[N+]([O-])C1CCCC1C(O)C1CCCCC1,905,0,0,0,0,0,0,0.004,0.12,0.508,0.76,0.6,0.714,0.972,0.724,0.463,0.889,1.833,2.934,4.84,7.993,13.417,21.462,27.004,25.957,21.671,18.376,16.953,15.129,10.302,5.466,4.866,6.999,7.715,6.079,4.287,3.19,2.715,2.526,2.1,1.869,1.585,0.981,0.497,0.231,0.075,0.005,0,0,0,0,0,285.4808
CCOC(=O)C1CCC(I)CC1C,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.523,1.952,6.516,15.976,25.599,28.95,25.376,19.485,15.307,14.712,15.887,12.59,6.589,6.632,9.716,10.457,10.082,6.647,2.955,2.631,3.638,4.121,3.084,1.582,0.549,0.06,0,0,0,0,0,0,0,0,0,275.1701
NC(CC(=O)O)c1ccco1,907,0,0,0,0.003,0.16,0.663,1.105,1.273,1.339,0.929,0.363,0.473,1.48,2.771,3.469,5.122,8.28,10.688,10.895,8.611,6.448,6.135,6.94,7.459,6.546,5.564,4.864,5.084,6.518,7.963,9.255,9,7.163,5.809,5.713,6.575,6.126,3.937,2.562,1.64,0.635,0.47,0.736,0.899,0.75,0.466,0.387,0.334,0.13,0,0,186.2486
CP(=O)(O)OC1CCCC1,908,0,0,0.066,0.302,0.839,1.195,0.849,0.717,1.06,0.942,0.598,0.572,0.544,0.341,0.353,1.31,3.207,5.074,5.9,6.863,10.753,15.18,16.524,16.845,16.413,13.89,12.117,10.407,6.09,2.718,2.509,2.583,2.247,2.77,3.712,4.331,3.968,2.825,2.021,2.514,3.915,4.121,2.486,0.678,0.008,0,0,0,0,0,0,196.1351
CC1(C)C=NN2C3C=CC(CC3)C21,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.435,1.717,4.326,9.673,16.513,21.217,22.138,19.24,16.123,15.327,16.93,15.913,9.164,4.638,3.582,2.883,3.005,2.382,1.682,1.916,2.098,2.235,2.226,1.753,1.376,1.29,1.148,0.855,0.454,0.116,0,0,0,0,0,228.2944
CCCCCC(C#N)NC(C)=O,910,0,0,0,0,0.034,0.266,0.709,0.983,0.915,0.715,0.527,0.395,0.319,0.436,0.996,1.736,2.61,4.777,8.479,10.661,11.796,16.452,21.835,23.314,21.776,18.307,14.113,11.776,9.751,5.539,2.836,2.989,3.868,5.125,4.977,4.103,4.509,5.443,5.581,3.622,1.532,0.826,0.43,0.126,0,0,0,0,0,0,0,237.6615
CCOC(=O)C(C#N)c1cc(Cl)ncn1,911,0,0,0,0,0,0,0,0,0,0.132,1.192,2.461,2.776,3.204,3.967,4.479,4.666,5.715,7.967,10.888,14.342,16.712,17.114,14.708,11.271,11.145,12.45,11.923,10.212,8.161,7.498,8.428,8.4,7.671,8.402,8.656,6.732,4.085,2.217,1.434,0.761,0.19,0.025,0,0,0,0,0,0,0,0,253.7073
